id,title,genres,cast,overview,production_companies,director_name
19995,Avatar,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Jake Sully', 'Neytiri']",in the 22nd century a paraplegic marine is dispatched to the moon pandora on a unique mission but becomes torn between following orders and protecting an alien civilization,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']",['James Cameron']
285,Pirates of the Caribbean: At World's End,"['Adventure', 'Fantasy', 'Action']","['Captain Jack Sparrow', 'Will Turner']",captain barbossa long believed to be dead has come back to life and is headed to the edge of the earth with will turner and elizabeth swann but nothing is quite as it seems,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",['Gore Verbinski']
206647,Spectre,"['Action', 'Adventure', 'Crime']","['James Bond', 'Blofeld']",a cryptic message from bonds past sends him on a trail to uncover a sinister organization while m battles political forces to keep the secret service alive bond peels back the layers of deceit to reveal the terrible truth behind spectre,"['Columbia Pictures', 'Danjaq', 'B24']",['Sam Mendes']
49026,The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']","['Bruce Wayne / Batman', 'Alfred Pennyworth']",following the death of district attorney harvey dent batman assumes responsibility for dents crimes to protect the late attorneys reputation and is subsequently hunted by the gotham city police department eight years later batman encounters the mysterious selina kyle and the villainous bane a new terrorist leader who overwhelms gothams finest the dark knight resurfaces to protect a city that has branded him an enemy,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",['Christopher Nolan']
49529,John Carter,"['Action', 'Adventure', 'Science Fiction']","['John Carter', 'Dejah Thoris']",john carter is a warweary former military captain whos inexplicably transported to the mysterious and exotic planet of barsoom mars and reluctantly becomes embroiled in an epic conflict its a world on the brink of collapse and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands,['Walt Disney Pictures'],['Andrew Stanton']
559,Spider-Man 3,"['Fantasy', 'Action', 'Adventure']","['Peter Parker / Spider-Man', 'Mary Jane Watson']",the seemingly invincible spiderman goes up against an allnew crop of villain  including the shapeshifting sandman while spidermans superpowers are altered by an alien organism his alter ego peter parker deals with nemesis eddie brock and also gets caught up in a love triangle,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",['Sam Raimi']
38757,Tangled,"['Animation', 'Family']","['Flynn Rider (voice)', 'Rapunzel (voice)']",when the kingdoms most wantedand most charmingbandit flynn rider hides out in a mysterious tower hes taken hostage by rapunzel a beautiful and feisty towerbound teen with 70 feet of magical golden hair flynns curious captor whos looking for her ticket out of the tower where shes been locked away for years strikes a deal with the handsome thief and the unlikely duo sets off on an actionpacked escapade complete with a supercop horse an overprotective chameleon and a gruff gang of pub thugs,"['Walt Disney Pictures', 'Walt Disney Animation Studios']","['Byron Howard', 'Nathan Greno']"
99861,Avengers: Age of Ultron,"['Action', 'Adventure', 'Science Fiction']","['Tony Stark / Iron Man', 'Thor Odinson']",when tony stark tries to jumpstart a dormant peacekeeping program things go awry and earths mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance as the villainous ultron emerges it is up to the avengers to stop him from enacting his terrible plans and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",['Joss Whedon']
767,Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy', 'Family']","['Harry Potter', 'Ron Weasley']",as harry begins his sixth year at hogwarts he discovers an old book marked as property of the halfblood prince and begins to learn more about lord voldemorts dark past,"['Warner Bros.', 'Heyday Films']",['David Yates']
209112,Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Fantasy']","['Bruce Wayne / Batman', 'Clark Kent / Superman']",fearing the actions of a godlike super hero left unchecked gotham citys own formidable forceful vigilante takes on metropoliss most revered modernday savior while the world wrestles with what sort of hero it really needs and with batman and superman at war with one another a new threat quickly arises putting mankind in greater danger than its ever known before,"['DC Comics', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment', 'Cruel & Unusual Films', 'RatPac-Dune Entertainment']",['Zack Snyder']
